Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,0.891705602,0.850326884,0.84214104,0.820710301,0.776333917,0.746445023,0.751035902,0.720053512,0.69991697,0.68041679,0.653303316,0.612121362,0.604857788,0.569206321,0.543502735,0.527081349,0.514518238,0.488650487,0.484816106,0.451613964,0.451141252,0.417937042,0.398650117,0.350656101,0.328257116
Austria,0.386437896,0.385916382,0.33990404,0.332883901,0.318012955,0.317894599,0.32361454,0.309300125,0.299198541,0.280409881,0.264610016,0.275709528,0.266179076,0.276858951,0.262524137,0.257618189,0.231966624,0.213401289,0.200770906,0.183713407,0.192142141,0.174300517,0.159007731,0.153765298,0.140776803
Azerbaijan,,,1.6947637,1.854702163,1.959172505,1.727682896,1.570558093,1.391672095,1.32941183,1.100832412,1.000771343,0.868817409,0.804431357,0.740835102,0.692102964,0.561271997,0.462128786,0.279412352,0.288402725,0.235157594,0.213310018,0.231442466,0.236199822,0.219855343,0.220763786
Bahamas  The,0.378415514,0.348980844,0.356967377,0.329862744,0.31040753,0.290644921,0.271466053,0.213774982,0.248544183,0.228171018,0.213352601,0.191360058,0.184276732,0.176416313,0.193322076,0.183254466,0.165834108,0.161647598,0.143672613,0.1633864,0.16012205,0.175938217,0.176670427,0.2480354,0.210285478
Bahrain,1.099750888,0.914045605,0.768850734,0.893713326,0.886008817,0.836653278,0.831943156,0.87952406,0.881995466,0.81615845,0.784359037,0.559442549,0.59911605,0.581987303,0.563248292,0.561210087,0.50156972,0.643058818,0.658345424,0.603980283,0.593488809,0.558037286,0.491422047,0.537804394,0.506231075
Bangladesh,0.175025148,0.167884993,0.173326536,0.158589577,0.162872367,0.18252907,0.180613634,0.177234998,0.159882422,0.158014004,0.162103417,0.175808192,0.173103208,0.171718308,0.167940026,0.16007121,0.160641645,0.148943021,0.153743364,0.157645026,0.16463786,0.160262622,0.157146547,0.15043183,0.146150671
Barbados,0.449288859,0.507862107,0.433232302,0.476035426,0.301360392,0.320518408,0.310784893,0.309292036,0.372722052,0.388597661,0.357279806,0.368073231,0.36161976,0.358927528,0.351641673,0.342847205,0.319192172,0.303819588,0.353666445,0.364685253,0.328550405,0.330833305,0.311277672,0.301304778,0.259728874
Belarus,,,1.673271763,1.553494791,1.459748521,1.490667586,1.409728829,1.23142753,1.095899954,1.009039607,0.894218434,0.819593588,0.762901564,0.714741345,0.678487964,0.611883868,0.566421411,0.49525963,0.459647551,0.441661711,0.417048526,0.393932385,0.375124102,0.368146268,0.353667508
Belgium,0.567176985,0.563692162,0.547756825,0.519450226,0.514122455,0.491802382,0.507788297,0.47346565,0.472314214,0.435727039,0.401224728,0.384471507,0.34070034,0.350398106,0.330706051,0.310671128,0.28686399,0.264282096,0.25573274,0.24335438,0.253956767,0.219317336,0.201783794,0.199250844,0.186711158
Belize,0.500605988,0.500869425,0.432549313,0.422179874,0.40869286,0.401636268,0.31712909,0.379935442,0.345076669,0.294135365,0.289395717,0.304615125,0.275913542,0.247771026,0.209066036,0.212432852,0.207446554,0.214672612,0.186729376,0.247504929,0.217419619,0.23257056,0.175723181,0.184405601,0.168303602
